Date,Water,,,,,,,,,,,
06/07/2021," 1,239.789 ",,,,,,,,,,,
06/07/2021," 1,239.789 ",,,,,,,,,,,
06/07/2021," 1,239.789 ",,,,,,,,,,,
06/07/2021," 1,239.789 ",,,,,,,,,,,
06/07/2021," 1,239.789 ",,,,,,,,,,,
06/07/2021," 1,239.789 ",,,,,,,,,,,
06/07/2021," 1,239.789 ",,,,,,,,,,,
06/07/2021," 1,239.789 ",,,,,,,,,,,
06/07/2021," 1,239.789 ",,,,,,,,,,,
06/07/2021," 1,239.789 ",,,,,,,,,,,
06/07/2021," 1,239.789 ",,,,,,,,,,,
06/07/2021," 1,239.789 ",,,,,,,,,,,
06/07/2021," 1,239.789 ",,,,,,,,,,,
04/07/2021," 1,239.025 ",,,,,,,,,,,
02/07/2021," 1,238.183 ",,,,,,,,,,,
01/07/2021," 1,237.796 ",,,,,,,,,,,
30/06/2021," 1,232.908 ",,,,,,,,,,,
29/06/2021," 1,232.394 ",,,,,,,,,,,
27/06/2021," 1,231.690 ",,,,,,,,,,,
25/06/2021," 1,231.423 ",,,,,,,,,,,
24/06/2021,1231.378,,,,,,,,,,,
21/06/2021," 1,231.340 ",,,,,,,,,,,
21/06/2021," 1,231.340 ",,,,,,,,,,,
21/06/2021," 1,231.340 ",,,,,,,,,,,
21/06/2021," 1,231.340 ",,,,,,,,,,,
21/06/2021," 1,231.340 ",,,,,,,,,,,
21/06/2021," 1,231.340 ",,,,,,,,,,,
17/06/2021," 1,231.261 ",,,,,,,,,,,
16/06/2021," 1,231.243 ",,,,,,,,,,,
15/06/2021," 1,231.034 ",,,,,,,,,,,
13/06/2021," 1,230.412 ",,,,,,,,,,,
11/06/2021," 1,229.864 ",,,,,,,,,,,
10/06/2021," 1,229.590 ",,,,,,,,,,,
09/06/2021," 1,229.247 ",,,,,,,,,,,
08/06/2021," 1,228.584 ",,,,,,,,,,,
07/06/2021," 1,228.584 ",,,,,,,,,,,
06/06/2021," 1,228.218 ",,,,,,,,,,,
03/06/2021," 1,227.156 ",,,,,,,,,,,
01/06/2021," 1,226.486 ",,,,,,,,,,,
30/05/2021," 1,225.769 ",,,,,,,,,,,
26/05/2021," 1,224.410 ",,,,,,,,,,,
23/05/2021," 1,223.485 ",,,,,,,,,,,
21/05/2021," 1,222.813 ",,,,,,,,,,,
21/05/2021," 1,222.813 ",,,,,,,,,,,
21/05/2021," 1,222.813 ",,,,,,,,,,,
20/05/2021," 1,222.538 ",,,,,,,,,,,
17/05/2021," 1,221.587 ",,,,,,,,,,,
16/05/2021," 1,221.225 ",,,,,,,,,,,
14/05/2021," 1,220.401 ",,,,,,,,,,,
09/05/2021," 1,218.367 ",,,,,,,,,,,
07/05/2021," 1,217.509 ",,,,,,,,,,,
05/05/2021," 1,216.894 ",,,,,,,,,,,
04/05/2021," 1,216.439 ",,,,,,,,,,,
02/05/2021," 1,215.550 ",,,,,,,,,,,
28/04/2021," 1,214.013 ",,,,,,,,,,,
27/04/2021," 1,213.573 ",,,,,,,,,,,
25/04/2021," 1,212.764 ",,,,,,,,,,,
22/04/2021," 1,211.577 ",,,,,,,,,,,
21/04/2021," 1,211.206 ",,,,,,,,,,,
25/04/2021," 1,212.764 ",,,,,,,,,,,
25/04/2021," 1,212.764 ",,,,,,,,,,,
25/04/2021," 1,212.764 ",,,,,,,,,,,
25/04/2021," 1,212.764 ",,,,,,,,,,,
25/04/2021," 1,212.764 ",,,,,,,,,,,
25/04/2021," 1,212.764 ",,,,,,,,,,,
25/04/2021," 1,212.764 ",,,,,,,,,,,
25/04/2021," 1,212.764 ",,,,,,,,,,,
25/04/2021," 1,212.764 ",,,,,,,,,,,
25/04/2021," 1,212.764 ",,,,,,,,,,,
25/04/2021," 1,212.764 ",,,,,,,,,,,
25/04/2021," 1,212.764 ",,,,,,,,,,,
22/04/2021," 1,211.577 ",,,,,,,,,,,
21/04/2021," 1,211.206 ",,,,,,,,,,,
20/04/2021," 1,210.834 ",,,,,,,,,,,
19/04/2021," 1,209.110 ",,,,,,,,,,,
10/04/2021," 1,207.264 ",,,,,,,,,,,
08/04/2021," 1,206.143 ",,,,,,,,,,,
05/04/2021," 1,204.708 ",,,,,,,,,,,
31/03/2021," 1,202.287 ",,,,,,,,,,,
28/03/2021," 1,200.822 ",,,,,,,,,,,
24/03/2021," 1,198.875 ",,,,,,,,,,,
22/03/2021," 1,197.952 ",,,,,,,,,,,
18/03/2021," 1,196.075 ",,,,,,,,,,,
18/03/2021," 1,196.075 ",,,,,,,,,,,
18/03/2021," 1,196.075 ",,,,,,,,,,,
14/03/2021," 1,194.131 ",,,,,,,,,,,
11/03/2021," 1,192.647 ",,,,,,,,,,,
28/02/2021," 1,187.050 ",,,,,,,,,,,
25/02/2021," 1,185.524 ",,,,,,,,,,,
24/02/2021," 1,184.996 ",,,,,,,,,,,
25/02/2021," 1,185.524 ",,,,,,,,,,,
25/02/2021," 1,185.524 ",,,,,,,,,,,
24/02/2021," 1,184.996 ",,,,,,,,,,,
21/02/2021," 1,183.498 ",,,,,,,,,,,
18/02/2021," 1,181.940 ",,,,,,,,,,,
17/02/2021," 1,181.419 ",,,,,,,,,,,
14/02/2021," 1,179.885 ",,,,,,,,,,,
10/02/2021," 1,177.756 ",,,,,,,,,,,
07/02/2021," 1,176.157 ",,,,,,,,,,,
24/01/2021," 1,168.649 ",,,,,,,,,,,
24/01/2021," 1,168.649 ",,,,,,,,,,,
24/01/2021," 1,168.649 ",,,,,,,,,,,
24/01/2021," 1,168.649 ",,,,,,,,,,,
24/01/2021," 1,168.649 ",,,,,,,,,,,
19/01/2021," 1,166.039 ",,,,,,,,,,,
